Article_Name,1,2,3,4,5,6,7,8,9,10
Great Pyramid of Giza - Wikipedia.txt,929,999,1111,950,854,722,738,448,356,539
Aesthetics - Wikipedia.txt,878,1092,1038,751,649,633,690,538,580,1358
Machu Picchu - Wikipedia.txt,757,971,1109,1100,1019,852,714,615,438,777
Rock music - Wikipedia.txt,2034,2550,3481,3578,2827,1654,1748,1538,1028,1995
Museum - Wikipedia.txt,833,2465,2663,1792,1414,1687,1974,1257,916,1793
Parthenon - Wikipedia.txt,1033,1354,1753,1090,872,931,803,695,853,999
English literature - Wikipedia.txt,880,1980,2571,1875,1720,1435,1645,1051,919,1477
Architecture - Wikipedia.txt,955,809,893,607,552,551,610,528,457,1147
Popular culture - Wikipedia.txt,245,375,388,304,246,210,383,369,157,419
Library - Wikipedia.txt,919,2344,2554,1948,1506,1325,1785,1108,1153,1651
Sculpture - Wikipedia.txt,3280,2564,3013,2419,2185,1943,1886,1293,1276,1674
Comics - Wikipedia.txt,637,859,938,1003,938,872,638,547,423,902
Gothic art - Wikipedia.txt,359,570,663,526,409,474,364,291,250,417
The arts - Wikipedia.txt,243,594,609,468,389,307,341,265,212,473
Short story - Wikipedia.txt,332,605,760,597,801,416,535,310,264,411
Visual arts - Wikipedia.txt,309,582,600,473,352,328,420,250,221,367
Folk music - Wikipedia.txt,670,1669,1801,1788,1722,1044,1203,923,668,1281
Novel - Wikipedia.txt,739,1507,1912,1358,1266,1100,1284,759,697,1103
Singing - Wikipedia.txt,503,1187,1180,1025,1140,728,792,553,433,703
Pottery - Wikipedia.txt,1058,1422,1394,1274,1091,852,1114,697,485,941
Baroque - Wikipedia.txt,519,859,967,733,569,564,780,499,390,652
Painting - Wikipedia.txt,546,1016,1074,848,687,552,668,602,386,689
Poetry - Wikipedia.txt,912,1602,1437,1412,1370,1233,1175,869,641,1171
Animation - Wikipedia.txt,761,891,887,1106,778,744,677,621,634,840
Theatre - Wikipedia.txt,601,1347,1518,1228,914,764,1007,679,574,896
Music - Wikipedia.txt,1316,2842,2768,2333,2642,1652,1735,1271,1156,1968
Dance - Wikipedia.txt,734,818,828,710,872,605,562,438,336,567
Modernism - Wikipedia.txt,1435,2327,2756,1959,1983,1686,1707,1264,1262,2194
Romanticism - Wikipedia.txt,1329,2343,2686,1950,1612,1779,1624,1389,1002,2000
Film - Wikipedia.txt,768,1380,1300,1396,1069,874,843,594,471,941
Comedy - Wikipedia.txt,674,624,585,499,503,529,482,314,313,455
Taj Mahal - Wikipedia.txt,946,878,1063,818,785,713,511,481,348,505
Orchestra - Wikipedia.txt,563,1089,1187,799,804,644,666,494,570,973
Classical music - Wikipedia.txt,1044,1310,1576,1237,1305,993,1053,849,732,1277
Stonehenge - Wikipedia.txt,1304,1564,1771,1609,1264,1188,995,817,676,1253
Musical theatre - Wikipedia.txt,820,1562,2193,1968,1583,1085,1385,1028,616,1018
Literature - Wikipedia.txt,539,953,864,725,687,531,583,471,386,761
Musical instrument - Wikipedia.txt,616,1022,1067,1102,1065,777,835,612,487,1088
Drawing - Wikipedia.txt,425,628,651,543,432,331,531,297,251,411
Fiction - Wikipedia.txt,180,341,276,292,258,150,237,191,142,231
Tragedy - Wikipedia.txt,638,949,953,786,674,611,698,462,459,663
Pop music - Wikipedia.txt,620,436,597,527,535,367,353,267,221,482
Fairy tale - Wikipedia.txt,707,1110,1376,1241,1386,795,744,629,506,917
Opera - Wikipedia.txt,738,1742,2051,1459,1718,1195,1255,850,735,1114
Great Wall of China - Wikipedia.txt,596,935,1118,1123,908,531,606,399,286,467
Colosseum - Wikipedia.txt,718,1271,1507,1049,958,704,672,580,579,677
Photography - Wikipedia.txt,690,1272,1196,1009,912,755,827,606,465,1171
Angkor Wat - Wikipedia.txt,1296,1067,1314,1036,921,1033,764,622,480,840
Performing arts - Wikipedia.txt,242,581,613,495,469,352,382,228,193,364
Jazz - Wikipedia.txt,1338,2545,3134,3346,2986,1668,1743,1318,1096,1797
