Article_Name,1,2,3,4,5,6,7,8,9,10
Jerusalem - Wikipedia.txt,2792,4286,4854,4162,2989,3084,2923,2170,2492,2971
Lake Victoria - Wikipedia.txt,639,855,973,954,756,570,682,530,358,691
Land - Wikipedia.txt,420,375,462,393,374,290,282,180,166,390
Nigeria - Wikipedia.txt,1865,2642,2677,2091,1967,1834,1998,1708,1211,1745
Antarctica - Wikipedia.txt,1647,1916,2168,1718,1453,1324,1302,1125,1019,1596
Southern Ocean - Wikipedia.txt,2021,1875,2197,1865,1672,1351,1490,1234,930,1452
Democratic Republic of the Congo - Wikipedia.txt,1435,2534,2823,1795,1829,1597,1581,1393,966,1770
Paris - Wikipedia.txt,2482,4012,4217,3283,3295,2729,2438,1953,1441,2775
Mediterranean Sea - Wikipedia.txt,1713,1449,2077,1478,1182,1300,1451,944,644,1388
Great Lakes - Wikipedia.txt,602,1431,1722,1551,1747,999,982,836,577,937
Lake - Wikipedia.txt,735,1317,1108,1160,1041,718,683,492,401,847
Hong Kong - Wikipedia.txt,3299,3049,3309,3848,2277,2260,2316,2118,1716,2699
Canada - Wikipedia.txt,1513,2697,2849,2203,1788,2110,1850,2179,1040,2298
Mount Everest - Wikipedia.txt,1958,3850,4190,3834,3045,2540,2676,1815,1366,1885
Atlantic Ocean - Wikipedia.txt,1593,1485,1889,1421,1483,1261,1365,1199,741,1334
France - Wikipedia.txt,2700,4780,5149,3402,2809,3728,3017,2772,1872,3058
Saudi Arabia - Wikipedia.txt,2319,3639,3835,2930,3188,2818,2546,1860,1522,2324
Tokyo - Wikipedia.txt,1901,1379,1551,1521,1443,1128,1034,821,595,1195
Mecca - Wikipedia.txt,1603,1735,1821,1515,1494,1246,1095,904,597,993
Indonesia - Wikipedia.txt,1750,3336,3547,3070,2218,2134,2360,2378,1826,2598
Australia - Wikipedia.txt,1714,2357,2546,1892,1695,1490,1544,1486,1416,2122
City - Wikipedia.txt,1658,2818,2842,2296,2282,2067,1833,1548,1233,2832
United States - Wikipedia.txt,2373,5246,5959,4567,3706,4467,3511,3062,2333,3838
Mexico City - Wikipedia.txt,1587,3199,3527,2795,2064,2286,2102,1711,1086,2081
Arctic Ocean - Wikipedia.txt,1626,883,1084,897,999,1055,922,766,474,881
Yangtze - Wikipedia.txt,1209,1897,2364,1563,1799,1179,1557,914,679,1102
Iran - Wikipedia.txt,2466,3975,4296,3613,2614,2620,2940,2371,1685,3003
São Paulo - Wikipedia.txt,2778,3100,3775,2727,2592,2064,1934,1614,1331,2195
South Africa - Wikipedia.txt,2179,2406,2605,2061,2274,1875,1936,1515,1148,1929
Amazon River - Wikipedia.txt,1193,1341,1467,1144,1078,1049,846,733,438,859
South America - Wikipedia.txt,2213,1893,2307,1669,1740,1473,1686,1328,977,1677
Alps - Wikipedia.txt,825,1708,2012,1616,1184,1172,1066,825,558,1019
Moscow - Wikipedia.txt,2749,2992,3468,3001,2126,2527,2206,1404,1262,2256
North America - Wikipedia.txt,1848,1557,1799,1432,1396,1484,1519,1201,820,1404
China - Wikipedia.txt,3112,3841,3866,3264,3230,2709,2808,2319,1810,2821
Arctic - Wikipedia.txt,1886,714,894,816,763,1106,1046,764,535,1003
Sea - Wikipedia.txt,2242,3108,3708,2950,2824,2281,2355,1771,1177,2461
Philippines - Wikipedia.txt,3615,4425,4544,3542,3002,2935,2976,2797,2035,3907
Cairo - Wikipedia.txt,1411,1627,1846,1524,1501,1240,1109,844,612,1017
Mountain - Wikipedia.txt,381,506,478,476,433,299,323,323,217,302
Mumbai - Wikipedia.txt,2148,2829,2851,2670,2312,2478,1978,1595,1265,2032
Oceania - Wikipedia.txt,2283,2238,2431,1965,1720,1697,2047,1561,1178,1956
Glacier - Wikipedia.txt,929,1025,1070,930,761,706,913,694,410,689
Egypt - Wikipedia.txt,2347,3127,3294,2618,2733,2305,2029,1795,1332,2009
Caspian Sea - Wikipedia.txt,1780,978,1229,1129,971,918,1138,769,535,1054
Bangladesh - Wikipedia.txt,1943,2723,3378,2329,2264,2173,2209,1856,1355,2996
India - Wikipedia.txt,2164,2309,2481,2047,2227,1914,1695,1361,1114,2162
Pakistan - Wikipedia.txt,3206,5081,5375,4000,3734,3536,3411,3657,2620,3852
London - Wikipedia.txt,2655,3326,3711,3391,2441,2991,2476,1953,1467,2172
Sahara - Wikipedia.txt,465,975,1252,842,824,867,796,476,346,702
Ethiopia - Wikipedia.txt,1860,2863,3002,2373,2090,1939,1940,1770,1359,2076
Himalayas - Wikipedia.txt,424,841,1097,708,692,595,565,411,408,511
Europe - Wikipedia.txt,2608,2591,3143,2390,1950,2263,2311,1762,1185,2248
Poland - Wikipedia.txt,2597,4297,4771,3223,2741,3828,3087,2370,1859,2994
Turkey - Wikipedia.txt,2365,3945,4301,2949,2500,3109,3048,2355,1820,2852
Argentina - Wikipedia.txt,2025,3051,3388,2541,2316,1978,2065,2005,1625,2343
Spain - Wikipedia.txt,2277,3563,3867,2510,2442,2424,2487,2016,1557,2448
Continent - Wikipedia.txt,1398,987,1097,1079,992,858,986,681,569,1167
Desert - Wikipedia.txt,766,1778,1925,1828,1478,1281,1221,796,579,1127
New York City - Wikipedia.txt,2727,4539,6116,5401,3508,3983,3082,2526,2160,2990
Beijing - Wikipedia.txt,2493,2430,2838,2453,1806,1730,2277,1601,1169,1730
Indian Ocean - Wikipedia.txt,1245,628,812,729,843,880,785,523,418,709
Rome - Wikipedia.txt,1956,2975,3733,2871,2464,1877,2083,1548,1135,1748
South Korea - Wikipedia.txt,2361,3522,3842,2975,3421,2865,2416,1933,1543,2395
Pacific Ocean - Wikipedia.txt,1093,846,1085,939,954,825,1083,627,462,873
Jakarta - Wikipedia.txt,1585,2403,2405,2449,1935,1588,2193,1336,1020,1677
Italy - Wikipedia.txt,2282,3423,3962,2518,2841,2428,2709,2210,1580,2544
United Kingdom - Wikipedia.txt,2922,4954,5410,3698,3390,3297,3459,2933,2072,3209
Country - Wikipedia.txt,146,207,194,156,116,119,160,127,130,168
Delhi - Wikipedia.txt,1641,2114,2189,1837,2327,1662,1460,1250,917,1499
Africa - Wikipedia.txt,2318,1754,1861,1518,1500,1583,1674,1160,873,1468
Geography - Wikipedia.txt,647,638,681,449,387,354,404,408,338,750
Russia - Wikipedia.txt,3423,4218,4821,3270,2951,3384,3540,2514,2006,3469
Mexico - Wikipedia.txt,1621,3723,3914,2714,2225,2628,2561,2028,1539,2630
Vietnam - Wikipedia.txt,1474,2403,2745,2148,1602,1396,1727,1376,999,1772
Istanbul - Wikipedia.txt,2154,2854,3484,3091,2308,2182,2183,1954,1417,2295
Singapore - Wikipedia.txt,2201,2915,2995,2677,1931,1913,1925,1790,1861,2085
River - Wikipedia.txt,476,671,711,574,670,546,468,324,241,524
Middle East - Wikipedia.txt,868,779,949,883,754,864,795,527,395,683
Grand Canyon - Wikipedia.txt,1041,1283,1661,1332,1354,1207,1090,976,513,787
Andes - Wikipedia.txt,1458,934,1058,898,999,920,921,688,554,826
Great Barrier Reef - Wikipedia.txt,650,1271,1439,1463,1165,905,1026,739,552,799
Forest - Wikipedia.txt,809,732,797,742,684,649,673,446,419,806
Israel - Wikipedia.txt,2053,4601,5219,3947,3203,3744,3212,2353,2065,3131
Mississippi River - Wikipedia.txt,1137,2053,2454,1770,1944,1354,1160,1090,794,1577
Rocky Mountains - Wikipedia.txt,651,721,917,606,744,594,619,564,347,559
Nile - Wikipedia.txt,923,1287,1540,1294,1162,944,800,609,436,752
Japan - Wikipedia.txt,2206,3025,3038,2311,2429,2144,2049,1905,1248,2074
Thailand - Wikipedia.txt,1760,2224,2271,1972,1471,1250,1489,1448,958,1449
Germany - Wikipedia.txt,1962,2970,3540,2379,2007,2484,2386,1836,1382,2657
Brazil - Wikipedia.txt,3087,3537,3632,2707,2367,2507,2453,2125,1655,2967
Asia - Wikipedia.txt,1930,1463,1556,1512,1423,1204,1187,1089,724,1126
