Article_Name,1,2,3,4,5,6,7,8,9,10
Allergy - Wikipedia.txt,1184,1595,1322,1247,841,810,973,956,669,1449
Vaccine - Wikipedia.txt,862,1189,1149,940,628,633,911,779,543,1341
Drug - Wikipedia.txt,825,415,394,450,318,303,323,316,277,710
Nutrition - Wikipedia.txt,1466,1818,1731,1675,1279,1228,1368,1116,1007,1883
Cardiovascular disease - Wikipedia.txt,1809,1542,1282,1190,1044,1059,1138,1066,635,2071
Health - Wikipedia.txt,365,820,797,561,462,722,538,419,320,716
Addiction - Wikipedia.txt,1325,2926,2253,1922,1299,1121,1573,1455,1415,3088
Disease - Wikipedia.txt,430,1014,848,750,483,513,611,578,429,793
Influenza - Wikipedia.txt,2151,2493,2381,2026,1657,1408,1464,1317,1250,1977
Mental disorder - Wikipedia.txt,1442,2314,1999,1744,1288,1704,1458,1337,1153,2656
Stroke - Wikipedia.txt,1658,2490,2020,1665,1502,1709,1388,1519,884,2290
Ageing - Wikipedia.txt,1196,1691,1533,1430,1112,1259,1124,845,767,1800
Surgery - Wikipedia.txt,2420,1432,1197,961,864,848,1007,975,709,1659
Major trauma - Wikipedia.txt,820,1022,764,680,565,717,618,533,428,931
Cancer - Wikipedia.txt,1353,2457,1964,1909,1308,1792,1403,1337,966,1904
HIVAIDS - Wikipedia.txt,2047,2909,2693,2362,1520,1674,1539,1546,1089,2568
Birth control - Wikipedia.txt,1598,1706,1617,1402,1229,1136,1149,1057,669,1896
Malnutrition - Wikipedia.txt,1077,1705,1546,1449,1123,1119,1027,748,598,1673
Dementia - Wikipedia.txt,1673,2013,1850,1614,1187,1157,1210,1466,896,2031
Major depressive disorder - Wikipedia.txt,1845,2893,2153,1951,1449,1447,1597,1611,1195,3329
Obesity - Wikipedia.txt,1493,2086,1824,1628,1133,1387,1469,1055,687,1947
Pneumonia - Wikipedia.txt,1017,1505,1211,1022,875,701,737,761,698,1412
Alcoholism - Wikipedia.txt,1369,2055,1758,1548,1130,1081,1399,1130,773,2002
Diabetes mellitus - Wikipedia.txt,1134,1493,1158,1154,831,774,871,1051,556,1264
Sanitation - Wikipedia.txt,474,807,778,624,571,553,537,388,383,1049
Pharmaceutical drug - Wikipedia.txt,447,903,1026,718,625,483,522,497,444,1229
Smallpox - Wikipedia.txt,1025,1897,1969,1419,1206,1084,1204,1170,658,1331
Meningitis - Wikipedia.txt,1095,1556,1246,945,857,706,728,728,559,1622
Sexually transmitted infection - Wikipedia.txt,1081,1170,1203,997,764,857,794,795,581,1110
Gastroenteritis - Wikipedia.txt,1344,1030,742,736,581,526,508,662,450,1311
Smoking - Wikipedia.txt,961,1545,1492,1257,1048,930,1247,728,582,1053
Asthma - Wikipedia.txt,1347,1735,1340,1291,854,1129,980,935,661,1784
Antibiotics - Wikipedia.txt,1666,1523,1309,1129,762,786,1043,724,700,2454
Common cold - Wikipedia.txt,1070,832,811,747,525,527,426,530,282,855
Medicine - Wikipedia.txt,586,1440,1402,891,800,683,1000,928,723,1309
Malaria - Wikipedia.txt,1393,2242,1908,1564,1269,1212,1590,1284,765,2218
Dentistry - Wikipedia.txt,674,690,679,571,485,523,513,480,384,670
Tuberculosis - Wikipedia.txt,1414,1877,1563,1335,1009,1139,994,993,685,1797
