Article_Name,1,2,3,4,5,6,7,8,9,10
Abolitionism - Wikipedia.txt,843,1411,1542,1016,1100,977,1094,690,582,939
Great Depression - Wikipedia.txt,1561,2665,3196,2434,2098,1929,1861,1583,1049,2320
Indus Valley Civilisation - Wikipedia.txt,1361,2133,2296,2027,1990,1311,1504,1249,875,1903
French Revolution - Wikipedia.txt,2323,3889,5107,3136,2662,3102,2520,2037,1534,3109
Age of Enlightenment - Wikipedia.txt,999,2649,3364,2043,1710,1829,1757,1365,1134,2570
Mesoamerica - Wikipedia.txt,1514,1400,1715,1438,1246,1097,1273,955,683,1431
Ancient Greece - Wikipedia.txt,1042,1434,1668,1042,970,1092,1068,714,625,967
Prehistory - Wikipedia.txt,973,786,819,686,626,557,472,390,293,696
Reformation - Wikipedia.txt,1196,1700,2195,1302,1132,1274,1279,1005,819,1788
Age of Discovery - Wikipedia.txt,2597,3255,3854,3030,2635,2221,2314,1686,1195,2080
Civilization - Wikipedia.txt,533,1195,1326,1007,809,827,880,603,511,1207
History of Europe - Wikipedia.txt,1530,3695,5028,2919,2739,3015,2728,1963,1463,2404
Scramble for Africa - Wikipedia.txt,1321,1450,1750,1135,1091,1234,1230,933,538,1214
Modern history - Wikipedia.txt,1070,2733,3951,2239,1976,2012,1957,1439,1038,2035
Ancient Egypt - Wikipedia.txt,1487,2305,2930,2294,1940,1669,1904,1408,1012,1559
Byzantine Empire - Wikipedia.txt,2205,3174,4185,2822,2264,2183,2326,1758,1854,2433
Ottoman Empire - Wikipedia.txt,2413,2852,3612,2427,2032,2338,2708,1661,1319,2195
History of medicine - Wikipedia.txt,1083,2292,2570,1695,1477,1404,1952,1506,1021,1942
Tang dynasty - Wikipedia.txt,1539,2611,3552,2883,2264,1754,2204,1570,996,1656
Holy Roman Empire - Wikipedia.txt,939,1407,1821,1263,1226,1004,1023,732,511,1020
History of Asia - Wikipedia.txt,527,1079,1719,1165,940,775,1000,646,444,720
Mughal Empire - Wikipedia.txt,1387,1449,1892,1321,1458,1518,1325,944,677,1255
Neolithic Revolution - Wikipedia.txt,913,988,1015,930,869,713,679,523,486,1053
Andean civilizations - Wikipedia.txt,294,512,573,487,424,363,382,309,211,443
History of Africa - Wikipedia.txt,1372,3268,4435,3013,2927,2394,2650,1697,1220,2029
History of Earth - Wikipedia.txt,1605,2057,2473,1958,1732,1438,1381,1052,942,1838
History of science - Wikipedia.txt,1457,2693,2811,1864,1580,1323,1862,1310,1111,2542
History of the world - Wikipedia.txt,1029,1754,2505,1732,1551,1488,1532,986,812,1578
Crusades - Wikipedia.txt,1092,1759,2145,1532,1204,1160,1430,1136,883,1356
History of mathematics - Wikipedia.txt,1078,2199,2332,1521,1349,1050,1251,1005,740,1887
Gupta Empire - Wikipedia.txt,859,868,1160,749,703,572,696,585,348,751
World War I - Wikipedia.txt,2066,4457,5867,3770,3212,3594,3357,2461,1769,2961
Post-classical history - Wikipedia.txt,815,2212,3198,2042,1745,1564,1740,1083,911,1335
Mesopotamia - Wikipedia.txt,1029,1312,1569,1177,938,864,888,699,558,1080
Archaeology - Wikipedia.txt,882,1495,1427,1181,935,835,954,898,599,1876
Stone Age - Wikipedia.txt,1214,1601,1773,1451,1335,1016,873,732,503,1141
Maya civilization - Wikipedia.txt,1877,3133,3882,3569,2323,2205,2214,1832,1423,2510
Space exploration - Wikipedia.txt,1554,1345,1265,1048,1262,898,941,740,497,1035
Sumer - Wikipedia.txt,1021,1381,1615,1342,1095,904,926,833,605,1030
Aztec - Wikipedia.txt,800,1996,2366,1578,1588,1331,1249,1076,795,1498
History of East Asia - Wikipedia.txt,311,870,1107,731,674,544,638,503,370,476
Inca Empire - Wikipedia.txt,1230,1358,1645,1551,1134,960,964,800,563,978
Silk Road - Wikipedia.txt,1154,1869,2483,2147,1766,1353,1499,998,782,1251
European colonization of the Americas - Wikipedia.txt,560,858,892,630,642,542,669,533,381,737
Soviet Union - Wikipedia.txt,2287,2641,3428,2327,2077,2443,1994,1567,1407,2586
Moon landing - Wikipedia.txt,1493,1600,1538,1558,1754,1329,1317,927,500,956
Middle Ages - Wikipedia.txt,1120,3073,3732,2527,2051,2359,2171,1732,1088,1828
Iron Age - Wikipedia.txt,599,734,856,756,476,435,444,305,212,546
World War II - Wikipedia.txt,1640,3017,3941,2927,2514,3059,2585,1983,1491,2363
History of Oceania - Wikipedia.txt,743,1639,1844,1411,1197,1128,1182,727,642,995
History - Wikipedia.txt,1116,1482,1449,1044,935,783,1210,795,499,1298
Han dynasty - Wikipedia.txt,1352,2425,3193,2469,2051,1487,1925,1240,1007,1856
Ancient history - Wikipedia.txt,1142,3061,3383,2118,2058,1762,2109,1213,983,1640
Renaissance - Wikipedia.txt,846,1914,2235,1455,1201,1129,1321,1030,724,1649
Bronze Age - Wikipedia.txt,954,1512,1965,1407,1070,1255,1019,797,598,1032
Mongol Empire - Wikipedia.txt,1522,1837,2703,1965,1575,1770,1769,1137,834,1104
British Empire - Wikipedia.txt,1313,2027,2628,1710,1671,1585,1783,1230,1043,1471
Scientific revolution - Wikipedia.txt,906,2113,2226,1546,1270,1099,1204,874,849,1867
Assyria - Wikipedia.txt,1392,2456,3083,2121,1654,1627,1725,1487,1017,1446
Ancient Rome - Wikipedia.txt,2427,3438,4533,3079,3017,2640,2797,2101,1620,2406
History of South America - Wikipedia.txt,690,1471,1542,1254,1145,980,1030,844,632,1033
History of India - Wikipedia.txt,2838,4139,5351,3457,3691,3337,3251,2264,1641,3115
History of art - Wikipedia.txt,700,971,1314,813,703,590,775,586,390,806
Early human migrations - Wikipedia.txt,835,906,935,873,809,715,640,467,360,862
History of North America - Wikipedia.txt,394,759,887,615,551,556,515,451,289,478
Russian Empire - Wikipedia.txt,1466,2124,2616,1685,1428,1430,1666,1097,809,1445
History of the Middle East - Wikipedia.txt,540,1320,1879,1167,984,1052,1060,596,519,783
Achaemenid Empire - Wikipedia.txt,2044,2670,3253,2048,1913,1818,1864,1377,988,1928
Cold War - Wikipedia.txt,1945,2785,3828,2829,2188,2651,2289,1739,1496,2472
History of agriculture - Wikipedia.txt,887,1328,1444,1223,1116,1052,1065,670,544,1302
History of literature - Wikipedia.txt,537,1057,1206,849,755,613,718,504,344,770
Viking Age - Wikipedia.txt,847,1506,1968,1360,1166,1148,1068,737,536,940
Black Death - Wikipedia.txt,532,1215,1240,1028,909,958,789,492,438,724
Islamic Golden Age - Wikipedia.txt,1414,1394,1719,1119,975,917,1040,878,729,1329
History of technology - Wikipedia.txt,1506,1133,1224,952,860,679,880,739,522,1379
Industrial Revolution - Wikipedia.txt,1106,3219,4014,2991,2602,2110,2286,1584,1169,2751
