Article_Name,1,2,3,4,5,6,7,8,9,10
Child - Wikipedia.txt,510,380,340,291,318,253,234,198,176,313
Meat - Wikipedia.txt,707,1467,1356,1428,855,921,953,680,574,1187
Sport - Wikipedia.txt,419,807,757,666,544,568,484,391,314,557
Gambling - Wikipedia.txt,384,628,633,547,418,420,423,390,254,424
Sexual orientation - Wikipedia.txt,1502,2297,2189,1638,1226,1645,1267,1204,804,2636
Parenting - Wikipedia.txt,581,953,883,891,758,615,660,638,456,936
Salt - Wikipedia.txt,845,1135,1055,1237,848,808,704,525,479,752
Sugar - Wikipedia.txt,1651,1435,1402,1282,1188,995,929,749,596,1264
Board game - Wikipedia.txt,377,698,660,716,746,412,411,350,233,422
Recreation - Wikipedia.txt,134,213,203,171,96,97,121,101,85,254
Human sexuality - Wikipedia.txt,1060,1754,1941,1393,1230,1442,1101,986,811,1557
Maize - Wikipedia.txt,1623,2148,2113,1987,1650,1172,1154,866,620,1282
Tea - Wikipedia.txt,892,1671,2087,1500,1218,1055,1050,724,516,831
Man - Wikipedia.txt,550,411,516,425,337,365,305,227,192,486
Adult - Wikipedia.txt,294,219,227,144,186,156,116,107,113,334
Cheese - Wikipedia.txt,772,1041,1024,1091,708,904,700,478,315,664
Wine - Wikipedia.txt,1436,1499,1373,1573,1192,984,1126,888,632,1193
Bread - Wikipedia.txt,758,807,753,727,848,632,578,408,383,642
Friendship - Wikipedia.txt,268,470,374,475,264,339,315,263,203,477
Gender - Wikipedia.txt,1251,2579,2736,2080,1650,2054,1517,1242,922,2286
Drinking water - Wikipedia.txt,585,824,794,630,727,511,577,564,338,752
Soybean - Wikipedia.txt,1939,2106,2394,2095,1545,1382,1705,1281,877,1785
Card game - Wikipedia.txt,339,1015,1030,1048,826,530,511,297,257,348
Infant - Wikipedia.txt,472,488,455,461,353,390,342,258,203,424
Food - Wikipedia.txt,1461,1282,1218,1435,1065,982,1019,812,697,1215
Nut (fruit) - Wikipedia.txt,496,231,271,341,266,238,226,151,150,229
Wheat - Wikipedia.txt,1391,1673,1599,1447,1297,1008,963,698,544,1107
Jewellery - Wikipedia.txt,1043,1468,1618,1615,1265,1127,1035,759,773,874
Video game - Wikipedia.txt,946,1700,1714,1778,1627,1132,1020,898,625,1061
Entertainment - Wikipedia.txt,1904,2348,2408,2127,1709,1404,1493,1008,862,1852
Spice - Wikipedia.txt,690,433,449,486,514,518,398,333,301,424
Association football - Wikipedia.txt,1105,1452,1687,1598,1216,914,878,823,591,854
Sleep - Wikipedia.txt,987,1281,1121,962,1213,834,798,656,616,1210
Rice - Wikipedia.txt,1790,2463,2330,2762,1839,1417,1443,1131,932,1779
Olympic Games - Wikipedia.txt,2100,2272,3136,2521,3006,2135,2049,1521,1182,1644
Potato - Wikipedia.txt,1203,1510,1593,1535,1109,1267,1001,807,569,1040
Milk - Wikipedia.txt,1661,2682,2447,2444,1544,1321,1653,1135,910,1591
Beer - Wikipedia.txt,1019,1812,1712,1978,1282,1168,1289,942,735,1160
Ethnic group - Wikipedia.txt,690,1199,1016,911,703,974,697,604,601,1126
Toy - Wikipedia.txt,464,937,1045,1128,816,615,596,486,333,555
Marriage - Wikipedia.txt,1992,4078,3968,3041,2798,2397,2536,2290,1660,2528
Coffee - Wikipedia.txt,1359,2312,2347,2095,1634,2125,1434,1144,886,1477
Vegetable - Wikipedia.txt,759,565,713,662,579,512,540,443,371,708
Game - Wikipedia.txt,356,833,707,860,745,448,419,358,243,423
Physical exercise - Wikipedia.txt,1251,2061,1532,1337,1029,1081,1316,1553,815,1938
Clothing - Wikipedia.txt,444,682,707,772,540,540,618,520,330,537
Cereal - Wikipedia.txt,553,342,417,408,393,286,273,184,182,352
Woman - Wikipedia.txt,1524,1360,1260,1135,1202,1099,990,845,719,1262
Fruit - Wikipedia.txt,958,566,562,570,645,596,456,435,349,647
Family - Wikipedia.txt,1335,2116,1887,1550,1363,1568,1289,1080,860,1663
Cooking - Wikipedia.txt,1009,724,652,855,603,597,667,564,405,763
Furniture - Wikipedia.txt,375,541,648,598,471,422,428,295,337,397
Sport of athletics - Wikipedia.txt,1095,908,1089,833,976,680,751,599,432,793
Color - Wikipedia.txt,608,912,872,675,802,571,479,352,255,728
