Article_Name,1,2,3,4,5,6,7,8,9,10
Combinatorics - Wikipedia.txt,440,504,410,318,248,262,374,305,227,691
Pi - Wikipedia.txt,5045,3849,2417,1834,1521,1498,1415,1127,809,1923
Topology - Wikipedia.txt,441,681,635,459,357,317,347,366,261,608
e (mathematical constant) - Wikipedia.txt,2690,1335,710,506,397,335,322,288,208,505
Geometry - Wikipedia.txt,810,1019,880,636,551,485,573,609,520,835
Dimension - Wikipedia.txt,807,742,578,414,386,363,400,283,348,615
Logarithm - Wikipedia.txt,3671,2495,1676,1188,847,771,814,655,535,1342
Calculus - Wikipedia.txt,1495,1518,1116,819,695,609,656,737,477,1121
Natural number - Wikipedia.txt,907,679,665,476,349,322,478,342,214,578
Circle - Wikipedia.txt,1426,1102,845,443,448,445,393,314,157,376
Area - Wikipedia.txt,2568,1645,1001,716,468,446,431,334,240,562
Sphere - Wikipedia.txt,1534,1195,825,481,384,487,403,292,203,380
Function (mathematics) - Wikipedia.txt,1845,1662,1269,717,555,466,534,624,387,675
Mathematical proof - Wikipedia.txt,652,900,610,529,441,356,362,292,247,633
Polygon - Wikipedia.txt,1289,920,678,488,351,317,395,289,238,506
Variable (mathematics) - Wikipedia.txt,440,485,387,225,175,169,173,238,151,255
Conic section - Wikipedia.txt,2580,2069,1534,1027,945,640,528,578,398,909
Coordinate system - Wikipedia.txt,257,372,378,245,224,164,158,133,126,422
Prime number - Wikipedia.txt,2117,1964,1605,2102,1122,935,940,572,508,966
Integer - Wikipedia.txt,2029,549,446,1176,216,163,225,267,144,276
Mathematical analysis - Wikipedia.txt,580,583,458,315,247,244,341,340,237,573
Volume - Wikipedia.txt,1342,771,357,235,204,257,137,132,77,231
Statistics - Wikipedia.txt,1066,1223,1154,951,643,661,686,556,468,1607
Fraction (mathematics) - Wikipedia.txt,3505,1935,1307,759,666,500,554,552,441,777
Number theory - Wikipedia.txt,1996,2208,1530,1349,1071,955,978,736,571,1331
0 - Wikipedia.txt,1551,1119,1180,1842,645,585,575,468,301,587
Probability - Wikipedia.txt,1104,963,657,492,381,340,381,264,214,728
Mathematics - Wikipedia.txt,682,1236,1058,919,691,595,720,602,397,1269
Division (mathematics) - Wikipedia.txt,1373,800,466,371,195,192,271,301,167,335
Shape - Wikipedia.txt,408,415,282,200,190,140,137,89,95,207
nth root - Wikipedia.txt,2908,1279,690,516,379,289,242,172,126,426
Algebra - Wikipedia.txt,775,924,840,559,405,379,595,409,305,646
Arithmetic - Wikipedia.txt,348,703,736,446,384,342,412,340,233,570
Limit (mathematics) - Wikipedia.txt,1025,520,232,176,200,114,87,116,66,192
Trigonometry - Wikipedia.txt,1130,791,562,388,319,232,251,229,207,491
Set (mathematics) - Wikipedia.txt,1376,779,693,354,250,201,283,192,151,332
Complex number - Wikipedia.txt,5037,3045,1549,1081,779,632,1016,635,451,1178
Polyhedron - Wikipedia.txt,842,1172,1122,956,683,566,644,551,533,1104
Algorithm - Wikipedia.txt,970,2321,2013,1589,1114,1037,1250,862,797,1640
Angle - Wikipedia.txt,1088,1260,1005,648,689,574,443,400,237,498
Exponentiation - Wikipedia.txt,4724,3037,1732,1193,832,743,756,686,459,1057
Mathematical optimization - Wikipedia.txt,1094,1028,792,603,478,519,584,540,465,1226
Subtraction - Wikipedia.txt,890,696,498,384,275,207,232,208,90,373
Number - Wikipedia.txt,973,1229,1130,807,609,593,799,575,327,767
Line (geometry) - Wikipedia.txt,1492,978,643,497,417,290,246,230,202,387
Real number - Wikipedia.txt,682,899,860,700,478,362,522,385,228,578
Addition - Wikipedia.txt,2371,1966,1427,978,730,610,719,736,375,963
Equation - Wikipedia.txt,973,907,673,424,294,234,284,366,361,487
Multiplication - Wikipedia.txt,1664,1167,641,412,344,247,356,273,172,512
Plane (geometry) - Wikipedia.txt,2452,1071,441,266,271,246,138,135,123,339
Triangle - Wikipedia.txt,4403,2897,1797,1165,1022,698,635,849,543,823
Infinity - Wikipedia.txt,746,902,733,613,459,390,479,543,250,633
Series (mathematics) - Wikipedia.txt,3782,2335,1078,803,550,622,604,408,329,771
