Article_Name,1,2,3,4,5,6,7,8,9,10
Combinatorics - Wikipedia.txt,440,504,410,318,248,262,374,305,227,691
Walt Disney - Wikipedia.txt,943,1591,1895,1885,1668,1636,1138,986,635,1010
Pi - Wikipedia.txt,5045,3849,2417,1834,1521,1498,1415,1127,809,1923
Ramesses II - Wikipedia.txt,1376,1170,1347,992,786,701,709,660,460,687
Leonardo da Vinci - Wikipedia.txt,1217,2161,2221,1744,1430,1083,1137,1149,733,1241
Frida Kahlo - Wikipedia.txt,772,1721,2383,2134,1667,1626,1375,1053,834,1259
Topology - Wikipedia.txt,441,681,635,459,357,317,347,366,261,608
e (mathematical constant) - Wikipedia.txt,2690,1335,710,506,397,335,322,288,208,505
Johann Wolfgang von Goethe - Wikipedia.txt,1031,1394,1577,1154,1072,1290,907,776,587,1050
Nicolaus Copernicus - Wikipedia.txt,1102,2678,2795,2010,1661,1545,1422,1240,914,2131
Geometry - Wikipedia.txt,810,1019,880,636,551,485,573,609,520,835
Dante Alighieri - Wikipedia.txt,799,1144,1062,873,957,683,639,567,462,650
Dimension - Wikipedia.txt,807,742,578,414,386,363,400,283,348,615
Adam Smith - Wikipedia.txt,1515,2080,1927,1764,1523,1433,1346,1112,893,1602
Plato - Wikipedia.txt,1990,2796,2711,2162,2001,1786,1589,1570,1254,2394
Logarithm - Wikipedia.txt,3671,2495,1676,1188,847,771,814,655,535,1342
Nelson Mandela - Wikipedia.txt,1740,3069,3390,3940,2775,2385,2749,2103,1426,2426
Jesus - Wikipedia.txt,2757,3118,3693,3174,2817,2157,2011,1584,1362,2465
Calculus - Wikipedia.txt,1495,1518,1116,819,695,609,656,737,477,1121
Natural number - Wikipedia.txt,907,679,665,476,349,322,478,342,214,578
Vasco da Gama - Wikipedia.txt,1211,1508,1272,1063,1007,682,646,442,347,529
Adi Shankara - Wikipedia.txt,1278,1358,1432,1125,974,873,1045,925,754,1609
Circle - Wikipedia.txt,1426,1102,845,443,448,445,393,314,157,376
Area - Wikipedia.txt,2568,1645,1001,716,468,446,431,334,240,562
The Beatles - Wikipedia.txt,2329,2798,3697,3573,3030,2263,2124,1619,1258,1782
Marie Curie - Wikipedia.txt,1022,1333,1606,1356,1362,1128,887,783,670,992
Werner Heisenberg - Wikipedia.txt,833,1775,2153,1695,1163,1099,1326,821,770,1872
Karl Marx - Wikipedia.txt,1762,2639,2874,2847,2055,1765,1709,1356,1435,2421
Cyrus the Great - Wikipedia.txt,1787,2011,2124,1397,1332,1117,1119,850,679,1086
