Article_Name,1,2,3,4,5
Combinatorics - Wikipedia.txt,440,504,410,318,2107
Walt Disney - Wikipedia.txt,943,1591,1895,1885,7073
Pi - Wikipedia.txt,5045,3849,2417,1834,8293
Ramesses II - Wikipedia.txt,1376,1170,1347,992,4003
Leonardo da Vinci - Wikipedia.txt,1217,2161,2221,1744,6773
Frida Kahlo - Wikipedia.txt,772,1721,2383,2134,7814
Topology - Wikipedia.txt,441,681,635,459,2256
e (mathematical constant) - Wikipedia.txt,2690,1335,710,506,2055
Johann Wolfgang von Goethe - Wikipedia.txt,1031,1394,1577,1154,5682
Nicolaus Copernicus - Wikipedia.txt,1102,2678,2795,2010,8913
Geometry - Wikipedia.txt,810,1019,880,636,3573
Dante Alighieri - Wikipedia.txt,799,1144,1062,873,3958
Dimension - Wikipedia.txt,807,742,578,414,2395
Adam Smith - Wikipedia.txt,1515,2080,1927,1764,7909
Plato - Wikipedia.txt,1990,2796,2711,2162,10594
Logarithm - Wikipedia.txt,3671,2495,1676,1188,4964
Nelson Mandela - Wikipedia.txt,1740,3069,3390,3940,13864
Jesus - Wikipedia.txt,2757,3118,3693,3174,12396
Calculus - Wikipedia.txt,1495,1518,1116,819,4295
Natural number - Wikipedia.txt,907,679,665,476,2283
Vasco da Gama - Wikipedia.txt,1211,1508,1272,1063,3653
Adi Shankara - Wikipedia.txt,1278,1358,1432,1125,6180
Circle - Wikipedia.txt,1426,1102,845,443,2133
Area - Wikipedia.txt,2568,1645,1001,716,2481
The Beatles - Wikipedia.txt,2329,2798,3697,3573,12076
Marie Curie - Wikipedia.txt,1022,1333,1606,1356,5822
Werner Heisenberg - Wikipedia.txt,833,1775,2153,1695,7051
Karl Marx - Wikipedia.txt,1762,2639,2874,2847,10741
Cyrus the Great - Wikipedia.txt,1787,2011,2124,1397,6183
Alexander the Great - Wikipedia.txt,3270,2678,3057,2247,10442
Gautama Buddha - Wikipedia.txt,1318,1895,2100,1598,6992
Paul the Apostle - Wikipedia.txt,1997,2887,3064,2600,9539
Pablo Picasso - Wikipedia.txt,1025,1453,1706,1410,5975
Sphere - Wikipedia.txt,1534,1195,825,481,2149
Abraham Lincoln - Wikipedia.txt,3013,3485,4170,3072,14851
Michael Faraday - Wikipedia.txt,598,1082,1080,834,3964
Function (mathematics) - Wikipedia.txt,1845,1662,1269,717,3241
Adolf Hitler - Wikipedia.txt,2488,2687,3146,2654,12603
Hildegard of Bingen - Wikipedia.txt,1449,1972,1969,1347,7902
Rumi - Wikipedia.txt,1586,1664,1979,1769,6935
Elvis Presley - Wikipedia.txt,2051,3965,4923,4462,14158
Julius Caesar - Wikipedia.txt,1127,1933,2239,1486,7058
Miguel de Cervantes - Wikipedia.txt,729,1627,1580,1042,4591
Galileo Galilei - Wikipedia.txt,1275,2751,2835,2278,9464
