Article_Name,1,2,3,4,5,6,7,8,9,10
Good and evil - Wikipedia.txt,574,1807,1477,1570,1017,832,830,688,598,1063
Existence - Wikipedia.txt,806,648,617,520,402,381,357,322,301,648
Epistemology - Wikipedia.txt,1350,1510,1240,1155,830,740,860,649,698,1628
Belief - Wikipedia.txt,1759,1472,1292,1179,850,964,993,882,880,1862
Logic - Wikipedia.txt,1145,1567,1300,965,1002,694,743,652,644,1391
Analytic philosophy - Wikipedia.txt,1094,1139,922,715,620,631,735,690,533,1506
Ontology - Wikipedia.txt,819,920,680,540,500,474,494,485,396,936
Reason - Wikipedia.txt,708,1946,1607,1333,1105,1046,987,715,814,1238
Free will - Wikipedia.txt,1310,4015,3190,3798,1974,1946,1967,1534,1209,3250
Bible - Wikipedia.txt,2038,1934,2362,1427,1564,1320,1204,1026,933,1434
Truth - Wikipedia.txt,1396,2157,1669,1520,1448,1080,1131,881,859,1749
Sunni Islam - Wikipedia.txt,1497,881,926,621,741,728,640,630,534,886
Jainism - Wikipedia.txt,2285,2621,2768,2998,2287,1792,1994,1325,1343,2656
Prayer - Wikipedia.txt,1127,1819,1748,1416,1064,1201,1074,880,686,1325
Zoroastrianism - Wikipedia.txt,1025,1753,1926,1519,1266,1019,1072,800,719,1396
Christianity - Wikipedia.txt,1962,3355,3832,2499,2186,2101,1936,1822,1644,3125
Mahayana - Wikipedia.txt,1312,1224,1312,987,817,846,766,957,642,1262
Islam - Wikipedia.txt,2364,2813,3098,2290,2323,2024,1985,1530,1288,2227
Philosophy - Wikipedia.txt,1076,1381,1381,963,898,850,952,806,696,1807
Upanishads - Wikipedia.txt,1242,1416,1711,1279,1200,895,1016,855,684,1869
God - Wikipedia.txt,1393,1892,2022,1346,1029,935,971,803,760,1354
Theism - Wikipedia.txt,1108,326,285,254,213,258,286,258,279,608
Spirituality - Wikipedia.txt,1386,1376,1453,1142,975,928,1040,825,877,1966
Contemporary philosophy - Wikipedia.txt,682,659,601,435,420,293,384,400,255,1023
Shinto - Wikipedia.txt,1090,1546,1751,1279,1078,1186,1027,821,612,996
Talmud - Wikipedia.txt,1339,2452,2750,1783,1615,1883,1727,1345,959,1711
Vajrayana - Wikipedia.txt,1560,1518,1454,1100,1009,1021,1095,1043,742,1354
Knowledge - Wikipedia.txt,871,744,590,485,345,337,437,352,408,864
Worship - Wikipedia.txt,132,403,339,249,183,167,257,174,139,204
Buddhism - Wikipedia.txt,2608,3642,3708,3246,2739,2459,2420,2628,1782,3331
Agnosticism - Wikipedia.txt,1167,1420,1228,1027,697,693,650,671,605,985
Vedas - Wikipedia.txt,857,1164,1474,1116,1256,789,822,681,529,1191
Taoism - Wikipedia.txt,1759,1362,1552,1227,878,1055,1062,839,655,1509
Atheism - Wikipedia.txt,2355,2664,2578,2107,1480,1488,1798,1509,1364,2501
Western esotericism - Wikipedia.txt,1086,1292,1324,1116,1010,801,908,822,686,1512
Eastern philosophy - Wikipedia.txt,1225,636,661,573,478,421,583,476,351,924
Confucianism - Wikipedia.txt,1742,1760,1764,1315,1063,1025,1112,857,879,1581
Ethics - Wikipedia.txt,994,1640,1316,1193,940,1013,967,704,670,1432
Judaism - Wikipedia.txt,1753,3139,3729,2635,2047,2208,2173,1588,1339,2249
Meditation - Wikipedia.txt,1362,2433,2266,1998,1480,1377,1427,1176,1136,2646
Protestantism - Wikipedia.txt,2127,3221,3602,2265,1827,1947,1913,1762,1535,3270
Metaphysics - Wikipedia.txt,1121,859,764,595,546,548,643,505,468,1289
Quran - Wikipedia.txt,1720,2469,2643,1883,1811,1392,1425,1054,806,1673
Western philosophy - Wikipedia.txt,934,1113,1128,787,709,604,748,609,512,1352
Shia Islam - Wikipedia.txt,1905,1838,2202,1673,1487,1282,1296,1034,838,1480
Catholic Church - Wikipedia.txt,3574,4263,4612,3416,2524,2695,2587,2522,2044,3052
Hinduism - Wikipedia.txt,2990,3878,4302,3632,3703,2861,2921,2529,1914,4109
Bhagavad Gita - Wikipedia.txt,1655,1729,1969,1568,1202,1158,1162,1018,774,1664
Eastern Orthodox Church - Wikipedia.txt,2800,5269,5880,3896,3085,3148,2784,2831,2074,3388
Deity - Wikipedia.txt,799,1182,1344,1212,977,823,909,577,599,1125
Ancient Greek philosophy - Wikipedia.txt,705,769,823,655,570,466,467,438,360,852
Soul - Wikipedia.txt,1110,1588,1588,1510,1019,937,880,715,723,1205
Religion - Wikipedia.txt,1963,2088,2087,1540,1362,1312,1379,1402,1312,2018
Shamanism - Wikipedia.txt,1273,2426,2562,2029,1767,1665,1752,1318,1195,1907
Theravada - Wikipedia.txt,1686,2253,2424,1790,1559,1251,1359,1337,1204,1933
Afterlife - Wikipedia.txt,1878,2414,2506,2098,1904,1435,1300,986,1066,1683
Mythology - Wikipedia.txt,426,988,932,834,734,602,598,458,481,813
Sikhism - Wikipedia.txt,1526,2193,2662,2500,2379,1744,1670,1220,1058,1915
