Article_Name,1,2,3,4,5,6,7,8,9,10
Carbon - Wikipedia.txt,1057,1471,1519,1227,856,951,835,944,640,1160
Inorganic chemistry - Wikipedia.txt,295,534,530,329,298,207,289,302,409,607
Protein - Wikipedia.txt,1069,1299,1157,943,783,558,983,865,615,1402
Venus - Wikipedia.txt,1520,1697,1600,1356,1485,1127,1214,926,612,1247
Particle physics - Wikipedia.txt,944,504,447,429,353,383,463,427,315,654
Natural selection - Wikipedia.txt,844,1779,1380,1191,842,911,1115,613,958,1689
Silver - Wikipedia.txt,1062,1477,1544,1239,915,1261,867,791,675,1086
Animal - Wikipedia.txt,1734,921,1093,965,802,758,871,659,556,1502
Tornado - Wikipedia.txt,1079,1458,1706,1426,1131,1105,1246,988,776,1250
Fungus - Wikipedia.txt,2723,2261,1801,1637,1360,1390,1317,1020,990,2862
Plant - Wikipedia.txt,2525,1309,1371,1139,1228,1045,950,675,624,1643
Blood - Wikipedia.txt,737,1214,1125,893,1058,674,621,477,413,871
Ion - Wikipedia.txt,490,546,546,460,344,304,302,280,236,343
Circulatory system - Wikipedia.txt,1439,793,1025,682,839,694,671,572,511,928
Dinosaur - Wikipedia.txt,2452,2344,2332,2183,1634,1395,1516,1360,1240,2647
Zoology - Wikipedia.txt,758,378,369,235,188,208,323,229,203,607
Volcano - Wikipedia.txt,737,1050,1064,920,857,752,795,630,502,737
Milky Way - Wikipedia.txt,1570,2275,2815,1932,1791,1262,1185,1226,741,1487
Mercury (planet) - Wikipedia.txt,1616,1848,1871,1613,1488,1199,1556,1055,756,1437
Human evolution - Wikipedia.txt,2557,2854,2797,2780,2391,1961,2230,1447,1178,3107
Flood - Wikipedia.txt,714,835,698,713,771,589,502,570,401,699
Earthquake - Wikipedia.txt,876,1201,1145,933,876,782,710,597,497,1243
Bird - Wikipedia.txt,3198,2584,2633,2565,2148,1665,1801,1318,1061,2601
Soil - Wikipedia.txt,2300,5093,4795,4967,3378,3023,2902,2395,2090,3532
Gene - Wikipedia.txt,1069,1584,1490,1287,923,804,877,710,677,1394
Climate - Wikipedia.txt,911,666,655,501,498,561,769,513,348,809
Momentum - Wikipedia.txt,3381,2086,1147,759,562,602,610,580,460,859
Bacteria - Wikipedia.txt,1741,2289,1832,1664,1148,1131,1235,1202,1094,2621
Extinction - Wikipedia.txt,1211,1230,1098,1077,842,752,1038,582,524,1397
Iron - Wikipedia.txt,1703,2355,2363,2223,1471,1250,1305,1130,955,1733
Insect - Wikipedia.txt,2005,2190,2091,1946,1354,1381,1653,1003,821,2034
Mammal - Wikipedia.txt,2415,2461,2802,2471,2049,1664,2116,1410,1148,2761
Weather - Wikipedia.txt,399,663,657,515,485,383,522,367,255,497
Carbon dioxide - Wikipedia.txt,1870,1936,1671,1374,1281,1304,1246,992,831,1704
Wind - Wikipedia.txt,762,1526,1614,1582,1357,970,1009,1030,652,1183
Neutron - Wikipedia.txt,1059,1609,1511,1210,892,863,1228,935,626,1114
Heart - Wikipedia.txt,1301,2255,2696,1872,2100,1427,1426,1169,792,1659
Energy - Wikipedia.txt,1484,1645,1156,942,683,1003,755,550,509,922
Periodic table - Wikipedia.txt,1947,2235,2416,1581,1310,1254,1061,1463,896,1732
Measurement - Wikipedia.txt,431,697,577,430,344,348,314,306,208,576
Nature - Wikipedia.txt,1445,1413,1239,1058,1006,810,871,662,499,1110
Vacuum - Wikipedia.txt,644,1407,1243,991,832,938,744,636,514,994
Weak interaction - Wikipedia.txt,913,665,509,447,341,308,294,243,192,452
Lung - Wikipedia.txt,1034,1297,1645,1201,1074,809,888,632,499,1120
Steel - Wikipedia.txt,656,1032,941,919,916,664,622,570,406,782
Geology - Wikipedia.txt,1014,1374,1458,1016,1025,811,870,732,521,1249
Brain - Wikipedia.txt,840,2142,1950,1504,1561,1109,1244,951,684,1697
Flower - Wikipedia.txt,855,1139,1015,913,773,815,774,445,409,789
Gold - Wikipedia.txt,1144,2029,1884,2224,1410,1226,1182,968,800,1308
Sound - Wikipedia.txt,716,726,597,431,532,360,323,273,233,465
Orbit - Wikipedia.txt,2541,1759,1304,921,868,775,712,457,375,870
Sun - Wikipedia.txt,1652,2373,2802,1944,1756,1406,1422,1115,785,1744
Heat - Wikipedia.txt,1577,2240,1339,1326,626,780,679,651,507,1054
Copper - Wikipedia.txt,1264,1520,1564,1264,1002,1302,989,839,756,1359
Space - Wikipedia.txt,474,664,484,376,364,277,330,229,267,442
Eukaryote - Wikipedia.txt,4989,1165,1248,1085,796,705,881,714,746,2629
Temperature - Wikipedia.txt,2715,2320,1689,1318,1004,998,922,798,612,1806
Physics - Wikipedia.txt,919,1355,1377,981,858,775,1122,744,668,1308
Scientific method - Wikipedia.txt,1178,2807,2583,2040,1549,1371,1528,1103,1013,2481
Physical cosmology - Wikipedia.txt,885,986,952,768,642,571,525,537,503,796
