Article_Name,1,2,3,4,5,6,7,8,9,10
Environmentalism - Wikipedia.txt,642,918,1050,759,690,665,692,550,428,1151
Nationalism - Wikipedia.txt,777,1918,2105,1482,1212,1296,1222,1043,777,1953
Language - Wikipedia.txt,1146,2674,2355,1847,1526,1429,1516,1497,1118,1902
Broadcasting - Wikipedia.txt,521,421,413,379,350,297,312,290,264,595
Brahmic scripts - Wikipedia.txt,1595,1750,780,386,389,365,462,468,327,458
Construction - Wikipedia.txt,546,778,807,603,478,454,435,455,352,851
Greek language - Wikipedia.txt,900,795,878,517,703,552,528,494,375,773
Money - Wikipedia.txt,648,1102,909,869,878,683,617,533,436,764
Learning - Wikipedia.txt,611,1045,803,759,526,500,651,674,451,924
Chinese characters - Wikipedia.txt,2196,2332,2378,1983,1543,1372,1708,1193,907,1869
Colonialism - Wikipedia.txt,976,1626,1653,1074,1046,1159,1239,1191,667,1577
Social science - Wikipedia.txt,899,1161,1131,769,653,779,897,770,598,1533
Discrimination - Wikipedia.txt,863,1649,1502,1300,1198,1141,1044,853,754,1766
Sexism - Wikipedia.txt,1846,2990,2863,2520,2224,2439,1852,1682,1369,2893
Microeconomics - Wikipedia.txt,510,639,528,437,370,412,478,375,292,761
Democracy - Wikipedia.txt,1361,2448,2346,1871,1469,1496,1431,1159,1377,2260
Indigenous peoples - Wikipedia.txt,723,1194,1231,885,784,828,823,669,509,1355
Russian language - Wikipedia.txt,1224,1388,1272,839,702,814,1032,880,611,1137
Chinese language - Wikipedia.txt,1733,1385,1372,1303,1022,967,1180,975,720,1154
Dream - Wikipedia.txt,706,1478,1498,1328,1229,1085,909,826,608,1164
Communism - Wikipedia.txt,587,1043,1170,853,646,639,719,513,675,1070
Fear - Wikipedia.txt,552,1324,1194,1270,819,718,746,624,556,1187
Globalization - Wikipedia.txt,1022,2266,2356,1906,1616,1537,1376,1244,1025,2466
Bank - Wikipedia.txt,867,1206,1147,997,887,674,855,672,509,801
Hindustani language - Wikipedia.txt,1131,957,852,642,659,628,585,536,377,743
Crime - Wikipedia.txt,846,1088,1222,886,776,695,796,686,458,953
War - Wikipedia.txt,824,1531,1835,1329,1039,1006,935,805,656,1227
Personal name - Wikipedia.txt,248,523,511,521,462,324,324,251,156,290
Famine - Wikipedia.txt,1203,2334,2237,2089,1570,1792,1578,1115,855,1775
Love - Wikipedia.txt,673,1379,1189,1346,756,687,633,542,434,881
Business - Wikipedia.txt,691,785,716,602,476,459,572,527,437,905
Mind - Wikipedia.txt,384,1174,1016,896,646,572,590,480,474,1000
Fascism - Wikipedia.txt,1687,2454,2603,1938,1704,1634,2270,1570,1434,2369
NATO - Wikipedia.txt,1476,2018,1981,2098,1332,1543,1371,1234,1099,1521
Human rights - Wikipedia.txt,884,2566,2642,1645,1784,1879,1511,1150,945,1941
Sociology - Wikipedia.txt,1033,2736,2452,1735,1368,1713,1610,1406,1297,2739
Latin - Wikipedia.txt,1060,1540,1684,1221,1239,998,922,783,581,1020
Education - Wikipedia.txt,1010,1339,1188,953,755,843,1010,899,794,1456
Linguistics - Wikipedia.txt,621,1432,1231,873,740,605,824,811,638,1483
Secularism - Wikipedia.txt,1520,687,645,581,472,606,693,519,597,1145
Fishing industry - Wikipedia.txt,781,282,327,325,223,184,291,254,224,323
Psychology - Wikipedia.txt,1199,3050,2697,2172,1694,1735,1802,1657,1137,3676
Publishing - Wikipedia.txt,431,864,920,728,560,489,544,439,344,835
Justice - Wikipedia.txt,952,1014,767,758,573,620,725,552,452,967
Socialism - Wikipedia.txt,2126,5178,5297,3645,3391,3187,3421,2482,3002,4658
Privacy - Wikipedia.txt,804,2046,1743,1395,1167,1027,1524,941,634,1626
Cyrillic script - Wikipedia.txt,1204,825,801,590,708,507,640,687,440,667
Trade - Wikipedia.txt,633,651,731,604,649,477,468,430,370,636
European Union - Wikipedia.txt,2236,3546,3760,2209,1893,2420,1954,2276,1393,2693
Property - Wikipedia.txt,1152,1763,1488,1293,994,911,966,1070,644,1285
Currency - Wikipedia.txt,607,654,679,605,563,462,462,406,255,516
International Red Cross and Red Crescent Movement - Wikipedia.txt,582,1683,2429,1232,1180,812,903,878,758,1234
Military - Wikipedia.txt,770,1232,1378,866,697,612,794,895,495,795
Capitalism - Wikipedia.txt,1645,4081,3865,2952,2457,2497,2407,1823,1410,3533
Poverty - Wikipedia.txt,1531,2642,2498,2357,1729,1977,1913,1222,1101,1880
Pollution - Wikipedia.txt,715,835,837,668,707,637,586,478,504,1007
Liberty - Wikipedia.txt,776,818,694,626,554,561,678,474,388,773
Ideology - Wikipedia.txt,710,826,746,680,574,574,592,542,491,1046
Constitution - Wikipedia.txt,613,1771,1810,1230,959,840,889,751,572,1436
Indo-European languages - Wikipedia.txt,1378,1445,1468,1088,927,945,1002,878,788,1447
Government - Wikipedia.txt,907,844,694,509,516,472,441,395,431,1002
Arabic - Wikipedia.txt,1989,2945,2539,1944,1662,1961,1648,1469,1042,1714
Factory - Wikipedia.txt,382,447,420,376,331,245,339,247,228,474
Latin script - Wikipedia.txt,390,625,680,360,550,252,294,220,212,301
Folklore - Wikipedia.txt,504,1539,1399,1195,904,838,838,875,490,1085
Employment - Wikipedia.txt,837,901,867,678,552,558,571,499,408,1125
Hunting - Wikipedia.txt,758,1862,1786,1580,1159,1032,1506,907,630,1190
Industry - Wikipedia.txt,465,252,209,167,99,111,172,204,118,282
Finance - Wikipedia.txt,468,600,531,431,350,306,404,346,382,507
Conservatism - Wikipedia.txt,1082,1845,2050,1391,1385,1428,1486,1199,986,2323
School - Wikipedia.txt,368,526,551,455,381,408,545,337,280,449
Manufacturing - Wikipedia.txt,186,194,199,111,143,98,133,114,73,288
Grammar - Wikipedia.txt,195,426,414,279,229,230,302,231,157,355
Retail - Wikipedia.txt,2108,2590,2690,2498,2045,1921,1757,1497,1287,1806
Emotion - Wikipedia.txt,669,1611,1482,1195,838,919,1084,1024,872,1657
Human behavior - Wikipedia.txt,119,266,203,216,169,171,137,160,103,164
Communication - Wikipedia.txt,512,1024,960,743,589,556,676,575,456,1104
State (polity) - Wikipedia.txt,388,1204,1212,913,867,733,665,568,538,1012
Word - Wikipedia.txt,195,317,281,283,195,135,185,132,126,271
Tourism - Wikipedia.txt,1043,1404,1299,1094,907,949,1285,946,656,1096
Bengali language - Wikipedia.txt,1201,1134,1060,835,724,746,909,762,503,880
English language - Wikipedia.txt,2658,3253,3271,2580,2228,1828,2505,1993,1415,2456
Peace - Wikipedia.txt,464,1147,1150,784,954,695,672,531,446,873
Police - Wikipedia.txt,872,1747,1878,1305,1209,1493,1166,1071,724,1431
Speech - Wikipedia.txt,336,335,300,244,216,270,194,213,185,429
Imperialism - Wikipedia.txt,840,1524,1767,1299,928,1096,1037,939,736,1490
Racism - Wikipedia.txt,1571,3291,3082,2513,2135,2569,2063,1653,1392,2759
Portuguese language - Wikipedia.txt,1363,1793,1555,1141,958,1052,1003,1076,782,1548
Culture - Wikipedia.txt,561,846,800,644,526,540,730,714,422,956
Dictatorship - Wikipedia.txt,394,432,374,337,317,247,238,210,215,526
Monarchy - Wikipedia.txt,860,1053,891,621,739,564,632,555,386,608
Macroeconomics - Wikipedia.txt,474,616,640,483,494,587,459,364,316,656
Journalism - Wikipedia.txt,401,645,554,481,358,339,394,319,232,681
Mass media - Wikipedia.txt,697,1314,1249,1186,1110,768,745,666,499,1047
Writing - Wikipedia.txt,452,685,713,585,474,450,562,400,277,611
News - Wikipedia.txt,956,3085,3256,3069,2158,1836,1809,1342,1196,2569
Personality - Wikipedia.txt,202,416,395,327,211,251,272,223,173,550
Consciousness - Wikipedia.txt,916,2490,2053,1784,1480,1197,1413,1036,969,2339
Genocide - Wikipedia.txt,1177,1883,1778,1272,1139,1176,1121,1213,770,1517
Memory - Wikipedia.txt,981,1613,1327,1335,914,1230,1075,913,601,1431
Women's suffrage - Wikipedia.txt,1831,2955,3257,2414,2706,1986,1752,1825,1317,1998
Community - Wikipedia.txt,397,874,706,648,551,487,434,394,523,860
Anthropology - Wikipedia.txt,1339,1638,1520,1140,1044,1013,1148,1001,752,2139
Management - Wikipedia.txt,627,934,873,662,500,496,541,565,458,1248
Abortion - Wikipedia.txt,1414,2438,1807,1766,1358,1472,1335,1666,1145,1909
Advertising - Wikipedia.txt,1116,2004,1928,1673,1317,1166,1247,1165,824,1864
United Nations - Wikipedia.txt,1413,1815,2111,1362,1271,1371,1392,1094,703,1506
Theocracy - Wikipedia.txt,623,845,980,580,614,468,568,451,474,692
Japanese language - Wikipedia.txt,828,1592,1510,1238,1042,862,827,1120,659,875
Social class - Wikipedia.txt,561,776,802,674,825,717,551,405,357,701
Arabic alphabet - Wikipedia.txt,1898,1365,1308,944,817,800,800,593,459,668
Economics - Wikipedia.txt,1189,2867,2570,1913,1545,1846,1700,1528,1354,2440
Happiness - Wikipedia.txt,378,674,618,619,450,417,429,419,485,647
Tax - Wikipedia.txt,947,2320,2491,1783,1389,1348,1320,1073,754,1524
Greek alphabet - Wikipedia.txt,2247,1616,1261,807,1026,834,908,682,496,949
International Monetary Fund - Wikipedia.txt,1135,1590,2052,1396,1195,1176,1097,1020,885,1652
Thought - Wikipedia.txt,389,561,511,366,307,281,335,252,237,542
Disability - Wikipedia.txt,830,1591,1552,1288,875,1042,923,850,579,1735
Liberalism - Wikipedia.txt,1084,1994,2320,1766,1592,1505,1755,1219,1080,2101
Humour - Wikipedia.txt,484,986,876,766,633,685,552,602,350,815
Alphabet - Wikipedia.txt,1159,1017,1145,802,692,653,762,716,480,665
Spanish language - Wikipedia.txt,2047,2368,1819,1469,1205,1444,1598,1444,1064,1759
German language - Wikipedia.txt,2018,2674,2732,1908,1683,1961,1584,1490,1032,1916
Corporation - Wikipedia.txt,506,836,912,583,538,408,525,352,355,758
Political science - Wikipedia.txt,425,478,484,322,252,304,370,330,399,569
World Health Organization - Wikipedia.txt,1066,1264,1591,887,781,1205,841,759,635,1396
Feminism - Wikipedia.txt,1335,2083,2255,1828,1766,1723,1397,1653,1128,2227
Law - Wikipedia.txt,1248,2508,2919,1873,1791,1602,1499,1274,968,1968
Slavery - Wikipedia.txt,2297,3198,3029,2708,2786,2526,2526,1630,1292,2306
Mining - Wikipedia.txt,823,1395,1538,1235,1016,1105,882,757,595,1115
Society - Wikipedia.txt,533,630,540,488,383,403,477,373,316,656
Terrorism - Wikipedia.txt,1251,2188,2070,1706,1387,1264,1347,1102,1345,1739
Anger - Wikipedia.txt,859,1707,1658,1471,1313,1031,974,880,591,1288
Politics - Wikipedia.txt,396,570,541,373,390,279,365,289,339,523
Anarchism - Wikipedia.txt,1805,3079,3213,2172,1772,1840,2005,1595,1977,3434
Supply and demand - Wikipedia.txt,349,720,674,435,468,546,307,336,253,506
French language - Wikipedia.txt,1871,2153,1952,1415,1304,1521,1202,1140,860,1358
World Trade Organization - Wikipedia.txt,646,909,1276,660,771,583,670,553,489,1081
Suicide - Wikipedia.txt,1077,1943,1613,1527,1151,1127,1330,1110,674,1522
Agriculture - Wikipedia.txt,1016,1851,1854,1542,1185,1189,1160,959,855,1826
Diplomacy - Wikipedia.txt,532,948,1061,753,645,598,699,500,498,838
