Article_Name,1,2,3,4,5,6,7,8,9,10
Lens (optics) - Wikipedia.txt,952,1034,821,875,563,483,451,343,287,504
Mechanical engineering - Wikipedia.txt,456,897,814,560,493,457,565,504,405,1034
Masonry - Wikipedia.txt,269,450,391,385,306,264,335,223,163,374
Stove - Wikipedia.txt,189,447,496,494,323,301,289,175,141,234
Integrated circuit - Wikipedia.txt,824,993,1113,991,783,561,720,545,420,1194
Simple machine - Wikipedia.txt,1303,649,512,404,383,294,241,268,153,370
Wood - Wikipedia.txt,1190,1310,1196,1274,933,837,701,636,510,920
Video - Wikipedia.txt,545,466,558,432,586,424,383,257,198,432
Cryptography - Wikipedia.txt,714,1321,1427,1085,744,858,786,659,570,1399
Nuclear weapon - Wikipedia.txt,1318,1481,1577,1441,1033,1094,1534,783,625,1144
Knife - Wikipedia.txt,966,799,816,892,927,746,654,454,306,488
Tool - Wikipedia.txt,837,349,379,479,460,333,282,258,201,423
Dam - Wikipedia.txt,649,1542,1724,1458,1171,810,818,631,527,988
Submarine - Wikipedia.txt,951,1683,1992,1663,1506,1183,1254,908,850,1316
Computer - Wikipedia.txt,945,1727,1819,1597,1099,968,1154,1036,768,1495
Gunpowder - Wikipedia.txt,677,1607,1723,1479,1136,1077,1158,742,759,1071
Computer science - Wikipedia.txt,1071,946,936,712,586,522,704,815,506,1397
Road - Wikipedia.txt,890,1218,1333,1255,1072,824,935,760,552,1002
Spaceflight - Wikipedia.txt,1004,791,739,620,748,582,620,481,304,844
Microscope - Wikipedia.txt,627,542,551,442,433,320,410,345,211,683
Compass - Wikipedia.txt,953,931,964,814,680,622,826,645,419,844
Mail - Wikipedia.txt,509,1011,1086,984,671,671,693,506,400,573
Biotechnology - Wikipedia.txt,466,1165,988,869,633,477,715,619,451,1199
Fossil fuel - Wikipedia.txt,800,443,520,507,391,516,490,318,284,553
Ship - Wikipedia.txt,1175,1686,1847,1797,1533,1182,1310,959,738,1217
Space station - Wikipedia.txt,727,445,521,413,528,373,417,368,221,422
Fortification - Wikipedia.txt,769,1085,1102,1041,905,679,706,530,435,719
Engine - Wikipedia.txt,454,750,672,592,490,560,519,367,250,607
Satellite - Wikipedia.txt,984,1166,1079,894,1269,802,770,671,626,1100
Telescope - Wikipedia.txt,301,403,383,373,301,192,271,170,213,456
Infrastructure - Wikipedia.txt,337,405,375,299,312,293,337,269,205,580
Weapon - Wikipedia.txt,395,402,421,339,269,303,384,284,181,383
Jet engine - Wikipedia.txt,1346,1617,2036,1406,1008,1171,1017,800,538,1075
Electric light - Wikipedia.txt,427,328,354,405,383,248,228,184,158,327
Wind power - Wikipedia.txt,1916,2620,2287,2754,1895,1746,1486,1425,1024,1695
Petroleum - Wikipedia.txt,1332,1824,2010,1606,1376,1032,1128,875,766,1316
Electric motor - Wikipedia.txt,1325,2076,1896,1626,1538,1324,1171,1164,750,1655
Solar energy - Wikipedia.txt,1414,1185,1244,1057,1410,1068,924,717,570,1233
Battery (electricity) - Wikipedia.txt,902,1114,1157,1082,775,628,857,674,636,883
Fertilizer - Wikipedia.txt,567,1133,1027,848,572,587,671,544,464,1108
Natural rubber - Wikipedia.txt,676,826,843,653,630,627,544,457,361,741
Telecommunication - Wikipedia.txt,749,1277,1353,1089,947,756,897,768,573,1250
Printing - Wikipedia.txt,578,784,858,747,741,546,628,568,410,669
Rail transport - Wikipedia.txt,1034,1592,1742,1472,1379,1109,1165,907,711,1156
Wheel - Wikipedia.txt,723,535,627,526,537,460,375,347,214,415
Sword - Wikipedia.txt,961,1234,1525,1274,1087,992,789,699,428,770
Refrigeration - Wikipedia.txt,508,1404,1708,1247,1053,740,903,594,489,1284
Canal - Wikipedia.txt,562,1035,1122,912,1118,740,603,366,322,537
Semiconductor device - Wikipedia.txt,303,538,572,470,377,327,367,251,207,455
Artillery - Wikipedia.txt,1008,2523,2804,2474,1777,1674,1556,1139,1180,1627
Firearm - Wikipedia.txt,625,1125,1375,1105,761,770,786,593,462,723
Medical imaging - Wikipedia.txt,700,1228,1015,798,618,522,894,622,472,1118
Coal - Wikipedia.txt,1033,1812,1746,2068,1463,1260,986,796,709,1288
Garden - Wikipedia.txt,463,339,352,273,262,307,384,201,182,297
Metallurgy - Wikipedia.txt,546,456,446,418,365,327,338,263,194,459
Telephone - Wikipedia.txt,476,711,876,719,520,454,492,415,420,539
Navigation - Wikipedia.txt,770,928,942,690,614,441,506,507,370,666
Electronics - Wikipedia.txt,196,298,295,237,186,170,230,151,125,408
Internal combustion engine - Wikipedia.txt,956,1655,2105,1492,1159,1275,1223,936,651,1276
Electricity - Wikipedia.txt,819,1439,1256,1057,929,793,859,759,509,1203
Calendar - Wikipedia.txt,933,681,722,624,514,434,374,494,304,534
Abacus - Wikipedia.txt,496,784,837,765,584,504,469,349,206,506
Radar - Wikipedia.txt,1032,1695,1651,1301,1332,1097,1168,838,655,1170
Bicycle - Wikipedia.txt,1036,1286,1458,1445,1120,928,1052,816,526,972
Television - Wikipedia.txt,1345,2572,2550,2167,1796,1444,1462,1227,916,2279
Gasoline - Wikipedia.txt,483,1328,1350,1058,715,849,798,772,473,818
Nuclear power - Wikipedia.txt,1735,2832,2929,2570,2344,1947,2459,1787,1389,2446
Computing - Wikipedia.txt,403,627,674,470,305,299,452,600,339,858
Glass - Wikipedia.txt,1103,1246,1296,1131,1309,936,1005,905,626,1375
Rocket - Wikipedia.txt,1272,1541,1521,1258,910,1082,991,739,456,978
Camera - Wikipedia.txt,791,1478,1570,1290,1190,1130,1091,715,451,840
Tower - Wikipedia.txt,372,251,231,185,201,167,141,114,98,174
Radio - Wikipedia.txt,810,1040,1098,895,897,592,615,543,461,884
Mobile phone - Wikipedia.txt,901,1023,1016,946,883,921,677,590,442,725
Hospital - Wikipedia.txt,482,1357,1396,1090,781,757,881,775,618,852
Bridge - Wikipedia.txt,415,599,660,565,488,507,483,288,231,469
Bow and arrow - Wikipedia.txt,791,490,617,497,474,409,364,275,200,395
Plastic - Wikipedia.txt,697,1191,1114,1054,725,601,786,693,615,1128
Domestication - Wikipedia.txt,798,613,780,684,558,566,507,382,329,904
Car - Wikipedia.txt,1069,1046,1380,1234,916,820,875,734,499,1054
Textile - Wikipedia.txt,562,565,471,566,441,422,460,434,241,440
Genetic engineering - Wikipedia.txt,1488,1827,1742,1709,1235,1069,1327,1235,851,2221
Natural gas - Wikipedia.txt,560,1583,1843,1196,963,876,1103,756,647,1029
Book - Wikipedia.txt,837,1410,1381,1279,1149,819,897,545,453,823
Arch - Wikipedia.txt,1651,628,563,654,660,562,408,309,248,479
Pasteurization - Wikipedia.txt,587,800,745,733,471,469,486,387,299,775
Technology - Wikipedia.txt,1090,1075,1192,983,846,729,800,689,515,1385
Tank - Wikipedia.txt,1382,1966,2398,2107,1534,1435,1370,1169,642,1396
