Article_Name,1,2,3,4,5,6,7,8,9,10
Combinatorics - Wikipedia.txt,440,504,410,318,248,262,374,305,227,691
Jerusalem - Wikipedia.txt,2792,4286,4854,4162,2989,3084,2923,2170,2492,2971
Ramesses II - Wikipedia.txt,1376,1170,1347,992,786,701,709,660,460,687
Animal - Wikipedia.txt,1734,921,1093,965,802,758,871,659,556,1502
Frida Kahlo - Wikipedia.txt,772,1721,2383,2134,1667,1626,1375,1053,834,1259
Greek language - Wikipedia.txt,900,795,878,517,703,552,528,494,375,773
e (mathematical constant) - Wikipedia.txt,2690,1335,710,506,397,335,322,288,208,505
Age of Enlightenment - Wikipedia.txt,999,2649,3364,2043,1710,1829,1757,1365,1134,2570
Parthenon - Wikipedia.txt,1033,1354,1753,1090,872,931,803,695,853,999
Dinosaur - Wikipedia.txt,2452,2344,2332,2183,1634,1395,1516,1360,1240,2647
Colonialism - Wikipedia.txt,976,1626,1653,1074,1046,1159,1239,1191,667,1577
English literature - Wikipedia.txt,880,1980,2571,1875,1720,1435,1645,1051,919,1477
Zoology - Wikipedia.txt,758,378,369,235,188,208,323,229,203,607
Submarine - Wikipedia.txt,951,1683,1992,1663,1506,1183,1254,908,850,1316
Computer - Wikipedia.txt,945,1727,1819,1597,1099,968,1154,1036,768,1495
Logarithm - Wikipedia.txt,3671,2495,1676,1188,847,771,814,655,535,1342
Ancient Greece - Wikipedia.txt,1042,1434,1668,1042,970,1092,1068,714,625,967
Democracy - Wikipedia.txt,1361,2448,2346,1871,1469,1496,1431,1159,1377,2260
Milky Way - Wikipedia.txt,1570,2275,2815,1932,1791,1262,1185,1226,741,1487
Jesus - Wikipedia.txt,2757,3118,3693,3174,2817,2157,2011,1584,1362,2465
Mount Everest - Wikipedia.txt,1958,3850,4190,3834,3045,2540,2676,1815,1366,1885
Calculus - Wikipedia.txt,1495,1518,1116,819,695,609,656,737,477,1121
Human evolution - Wikipedia.txt,2557,2854,2797,2780,2391,1961,2230,1447,1178,3107
Gunpowder - Wikipedia.txt,677,1607,1723,1479,1136,1077,1158,742,759,1071
The Beatles - Wikipedia.txt,2329,2798,3697,3573,3030,2263,2124,1619,1258,1782
France - Wikipedia.txt,2700,4780,5149,3402,2809,3728,3017,2772,1872,3058
