Article_Name,1,2,3,4,5,6,7
Combinatorics - Wikipedia.txt,440,504,410,318,248,262,1597
Jerusalem - Wikipedia.txt,2792,4286,4854,4162,2989,3084,10556
Ramesses II - Wikipedia.txt,1376,1170,1347,992,786,701,2516
Animal - Wikipedia.txt,1734,921,1093,965,802,758,3588
Frida Kahlo - Wikipedia.txt,772,1721,2383,2134,1667,1626,4521
Greek language - Wikipedia.txt,900,795,878,517,703,552,2170
e (mathematical constant) - Wikipedia.txt,2690,1335,710,506,397,335,1323
Age of Enlightenment - Wikipedia.txt,999,2649,3364,2043,1710,1829,6826
Parthenon - Wikipedia.txt,1033,1354,1753,1090,872,931,3350
Dinosaur - Wikipedia.txt,2452,2344,2332,2183,1634,1395,6763
Colonialism - Wikipedia.txt,976,1626,1653,1074,1046,1159,4674
English literature - Wikipedia.txt,880,1980,2571,1875,1720,1435,5092
Zoology - Wikipedia.txt,758,378,369,235,188,208,1362
Submarine - Wikipedia.txt,951,1683,1992,1663,1506,1183,4328
Computer - Wikipedia.txt,945,1727,1819,1597,1099,968,4453
Logarithm - Wikipedia.txt,3671,2495,1676,1188,847,771,3346
Ancient Greece - Wikipedia.txt,1042,1434,1668,1042,970,1092,3374
Democracy - Wikipedia.txt,1361,2448,2346,1871,1469,1496,6227
Milky Way - Wikipedia.txt,1570,2275,2815,1932,1791,1262,4639
Jesus - Wikipedia.txt,2757,3118,3693,3174,2817,2157,7422
Mount Everest - Wikipedia.txt,1958,3850,4190,3834,3045,2540,7742
Calculus - Wikipedia.txt,1495,1518,1116,819,695,609,2991
Human evolution - Wikipedia.txt,2557,2854,2797,2780,2391,1961,7962
Gunpowder - Wikipedia.txt,677,1607,1723,1479,1136,1077,3730
The Beatles - Wikipedia.txt,2329,2798,3697,3573,3030,2263,6783
France - Wikipedia.txt,2700,4780,5149,3402,2809,3728,10719
Influenza - Wikipedia.txt,2151,2493,2381,2026,1657,1408,6008
Communism - Wikipedia.txt,587,1043,1170,853,646,639,2977
Earthquake - Wikipedia.txt,876,1201,1145,933,876,782,3047
Alexander the Great - Wikipedia.txt,3270,2678,3057,2247,1781,1753,6908
Spaceflight - Wikipedia.txt,1004,791,739,620,748,582,2249
Surgery - Wikipedia.txt,2420,1432,1197,961,864,848,4350
Bacteria - Wikipedia.txt,1741,2289,1832,1664,1148,1131,6152
Abraham Lincoln - Wikipedia.txt,3013,3485,4170,3072,2892,2558,9401
Crime - Wikipedia.txt,846,1088,1222,886,776,695,2893
Adolf Hitler - Wikipedia.txt,2488,2687,3146,2654,2243,2788,7572
Bible - Wikipedia.txt,2038,1934,2362,1427,1564,1320,4597
War - Wikipedia.txt,824,1531,1835,1329,1039,1006,3623
Board game - Wikipedia.txt,377,698,660,716,746,412,1416
Famine - Wikipedia.txt,1203,2334,2237,2089,1570,1792,5323
