Article_Name,1,2,3,4,5
Combinatorics - Wikipedia.txt,440,504,410,318,2107
Jerusalem - Wikipedia.txt,2792,4286,4854,4162,16629
Ramesses II - Wikipedia.txt,1376,1170,1347,992,4003
Animal - Wikipedia.txt,1734,921,1093,965,5148
Frida Kahlo - Wikipedia.txt,772,1721,2383,2134,7814
Greek language - Wikipedia.txt,900,795,878,517,3425
e (mathematical constant) - Wikipedia.txt,2690,1335,710,506,2055
Age of Enlightenment - Wikipedia.txt,999,2649,3364,2043,10365
Parthenon - Wikipedia.txt,1033,1354,1753,1090,5153
Dinosaur - Wikipedia.txt,2452,2344,2332,2183,9792
Colonialism - Wikipedia.txt,976,1626,1653,1074,6879
English literature - Wikipedia.txt,880,1980,2571,1875,8247
Zoology - Wikipedia.txt,758,378,369,235,1758
Submarine - Wikipedia.txt,951,1683,1992,1663,7017
Computer - Wikipedia.txt,945,1727,1819,1597,6520
Logarithm - Wikipedia.txt,3671,2495,1676,1188,4964
Ancient Greece - Wikipedia.txt,1042,1434,1668,1042,5436
Democracy - Wikipedia.txt,1361,2448,2346,1871,9192
Milky Way - Wikipedia.txt,1570,2275,2815,1932,7692
Jesus - Wikipedia.txt,2757,3118,3693,3174,12396
Mount Everest - Wikipedia.txt,1958,3850,4190,3834,13327
Calculus - Wikipedia.txt,1495,1518,1116,819,4295
Human evolution - Wikipedia.txt,2557,2854,2797,2780,12314
Gunpowder - Wikipedia.txt,677,1607,1723,1479,5943
The Beatles - Wikipedia.txt,2329,2798,3697,3573,12076
France - Wikipedia.txt,2700,4780,5149,3402,17256
Influenza - Wikipedia.txt,2151,2493,2381,2026,9073
Communism - Wikipedia.txt,587,1043,1170,853,4262
Earthquake - Wikipedia.txt,876,1201,1145,933,4705
Alexander the Great - Wikipedia.txt,3270,2678,3057,2247,10442
Spaceflight - Wikipedia.txt,1004,791,739,620,3579
Surgery - Wikipedia.txt,2420,1432,1197,961,6062
Bacteria - Wikipedia.txt,1741,2289,1832,1664,8431
Abraham Lincoln - Wikipedia.txt,3013,3485,4170,3072,14851
Crime - Wikipedia.txt,846,1088,1222,886,4364
Adolf Hitler - Wikipedia.txt,2488,2687,3146,2654,12603
Bible - Wikipedia.txt,2038,1934,2362,1427,7481
War - Wikipedia.txt,824,1531,1835,1329,5668
