Rank	Article	href													Views	 %-Mobi	 %-Zero
1	Main Page	/wiki/Main_Page													117,979,727	18.78%	0.79%
2	-	/wiki/-													8,482,568	45.34%	1.75%
3	Justice League (film)	/wiki/Justice_League_(film)					Symbol c class.svg						Padlock-silver.svg		2,295,725	64.92%	0.72%
4	XHamster	/wiki/XHamster					Symbol c class.svg								2,233,091	94.72%	3.39%
5	Lil Peep	/wiki/Lil_Peep						Symbol start class.svg					Padlock-silver.svg		2,079,370	72.52%	0.23%
6	Krauss-Maffei Wegmann	/wiki/Krauss-Maffei_Wegmann								Symbol question.svg					1,311,628	0.02%	0.00%
7	Stranger Things	/wiki/Stranger_Things					Symbol c class.svg						Padlock-silver.svg		1,058,262	66.42%	0.32%
8	Deaths in 2017	/wiki/Deaths_in_2017											Padlock-silver.svg		759,803	37.71%	0.16%
9	Thor: Ragnarok	/wiki/Thor:_Ragnarok					Symbol c class.svg								742,455	65.01%	1.10%
10	2018 FIFA World Cup	/wiki/2018_FIFA_World_Cup					Symbol c class.svg						Padlock-silver.svg		742,011	48.29%	0.88%
11	Jason Momoa	/wiki/Jason_Momoa					Symbol c class.svg								735,871	79.16%	0.30%
12	Roy Moore	/wiki/Roy_Moore				Symbol b class.svg							Padlock-silver.svg		706,300	60.82%	0.09%
13	2018 FIFA World Cup qualification	/wiki/2018_FIFA_World_Cup_qualification					Symbol c class.svg						Padlock-silver.svg		706,298	50.33%	1.20%
14	Charles Manson	/wiki/Charles_Manson				Symbol b class.svg							Padlock-silver.svg		680,990	74.46%	0.17%
15	Leeann Tweeden	/wiki/Leeann_Tweeden						Symbol start class.svg		Symbol question.svg			Padlock-silver.svg		655,691	59.43%	0.06%
16	Robert Mugabe	/wiki/Robert_Mugabe		Symbol support vote.svg		Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	643,939	53.51%	2.79%
17	Al Franken	/wiki/Al_Franken		Symbol support vote.svg									Padlock-silver.svg		598,197	62.81%	0.09%
18	Darth Vader	/wiki/Darth_Vader				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	585,807	2.62%	0.02%
19	XXX (franchise)	/wiki/XXX_(franchise)						Symbol start class.svg					Padlock-silver.svg		579,681	86.69%	4.86%
20	Cornelia Sorabji	/wiki/Cornelia_Sorabji						Symbol start class.svg							534,760	41.85%	0.01%
21	Malcolm Young	/wiki/Malcolm_Young						Symbol start class.svg							528,181	69.29%	0.17%
22	Manushi Chhillar	/wiki/Manushi_Chhillar								Symbol question.svg			Padlock-silver.svg		512,475	86.98%	0.58%
23	Millie Bobby Brown	/wiki/Millie_Bobby_Brown						Symbol start class.svg					Padlock-silver.svg		494,727	79.89%	0.21%
24	Survivor Series (2017)	/wiki/Survivor_Series_(2017)											Padlock-silver.svg		466,099	66.80%	1.38%
25	Lisa Bonet	/wiki/Lisa_Bonet						Symbol start class.svg							458,897	78.57%	0.34%
26	Miss World 2017	/wiki/Miss_World_2017					Symbol c class.svg						Padlock-silver.svg		413,305	74.17%	1.74%
27	Zimbabwe	/wiki/Zimbabwe		Symbol support vote.svg										Padlock-olive.svg	408,918	51.08%	1.48%
28	Murder on the Orient Express (2017 film)	/wiki/Murder_on_the_Orient_Express_(2017_film)						Symbol start class.svg							383,235	60.23%	0.41%
29	Shyla Stylez	/wiki/Shyla_Stylez							Symbol stub class.svg				Padlock-silver.svg		381,086	71.78%	0.68%
30	Gal Gadot	/wiki/Gal_Gadot					Symbol c class.svg						Padlock-silver-light.svg		375,989	71.62%	0.49%
31	The Punisher (TV series)	/wiki/The_Punisher_(TV_series)					Symbol c class.svg								372,065	54.00%	0.35%
32	Hole punch	/wiki/Hole_punch					Symbol c class.svg								368,332	38.16%	0.03%
33	Lyle and Erik Menendez	/wiki/Lyle_and_Erik_Menendez						Symbol start class.svg							366,605	84.03%	0.21%
34	Grace Mugabe	/wiki/Grace_Mugabe					Symbol c class.svg								363,741	54.09%	3.82%
35	Rani Padmini	/wiki/Rani_Padmini					Symbol c class.svg						Padlock-silver.svg		361,123	76.16%	0.38%
36	Bitcoin	/wiki/Bitcoin					Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg		356,335	60.46%	1.25%
37	Al-Batin	/wiki/Al-Batin													355,067	0.00%	0.00%
